1,1932.1653469038195
2,1932.1653469038195
3,40.11833154737022
4,56.43369279938413
5,72.74905405139803
6,103.22591874251367
7,119.54127999452749
8,137.96595352382053
9,154.28131477583437
10,170.5966760278482
11,189.50315154603896
12,205.81851279805278
13,222.1338740500666
14,238.44923530208027
15,254.76459655409425
16,271.0799578061082
17,287.39531905812214
18,303.7106803101361
19,320.0260415621501
20,336.3414028141641
21,352.6567640661781
22,368.97212531819207
23,385.287486570206
24,401.60284782222
25,417.91820907423397
26,434.23357032624796
27,450.54893157826194
28,471.8860458501016
29,488.2014071021165
30,504.51676835413144
31,520.8321296061463
32,537.1474908581612
33,567.7898528195076
34,584.1052140715226
35,600.4205753235375
36,616.7359365755523
37,633.0512978275672
38,649.3666590795821
39,665.682020331597
40,681.9973815836119
41,698.3127428356266
42,714.6281040876415
43,730.9434653396564
44,747.2588265916713
45,763.5741878436862
46,779.889549095701
47,796.2049103477159
48,828.2315117526282
49,858.7917603444348
50,889.3520089362414
